Question,Answer
What is the procedure to apply for a library card?|,Fill out the application form at the library reception.
Are pets allowed on campus?|,"No, pets are not permitted on campus grounds."
What is the deadline to apply for scholarships?|,Scholarship deadlines vary; check the website for details.
How do I apply for a research grant?|,Submit a proposal through the university's research office.
Can visitors use the library facilities?|,"Yes, visitors can use library facilities with a guest pass."
Where can I find information on upcoming events?|,Events are posted on the bulletin board and the university website.
How can I get a duplicate ID card?|,Apply for a duplicate at the administration office with a fee.
What are the gym opening hours?|,The gym is open from 6 am to 10 pm daily.
How do I access Wi-Fi on campus?|,Login with your student credentials; guest access is also available.
How do I change my course schedule?|,Contact the registrarÃ¢â‚¬â„¢s office for schedule changes.
What is the dress code for lab classes?|,Lab coats and closed-toe shoes are required in lab classes.
Is there a lost and found service?|,"Yes, lost items are handed to the security desk at the main gate."
Where can I find first aid on campus?|,Visit the campus health center or contact security for assistance.
Are there part-time job opportunities on campus?|,"Yes, check the job board or speak to the career center."
Are laptops allowed in the library?|,"Yes, laptops are allowed in designated areas of the library."
Is there a shuttle service on campus?|,"Yes, the campus shuttle operates from 8 am to 8 pm."
Is smoking allowed on campus?|,"No, smoking is prohibited in all campus areas."
How do I access the online learning portal?|,Login with your student ID and password on the website.
What is the process for joining a club?|,Attend the club orientation or register during club day.
Can I book a study room in the library?|,"Yes, study rooms can be booked at the library reception."
How can I reset my email password?|,Visit the IT support office or reset through the university portal.
Where can I find help with my assignments?|,Visit the academic support center or ask your professor.
